web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 20;Bookmakers: 20;Home;Draw;Away;Home_team;Away_team
1572705356-39895;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Empoli-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/empoli-inter/nBNK8Y7N/;null;null;3.31;3.20;2.20;Empoli;Inter
1572705331-39742;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sampdoria-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sampdoria-empoli/4SRaDdgh/;null;null;2.07;3.29;3.73;Sampdoria;Empoli
1572705714-42177;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Parma-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/parma-juventus/pbuqssWu/;;;8.00;4.50;1.42;Parma;Juventus
1572705314-39620;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Chievo-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/chievo-torino/CErccp3f/;null;null;2.60;3.20;2.60;Chievo;Torino
1572705408-40247;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Napoli-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/napoli-genoa/6wZTGVap/;null;null;1.40;5.00;9.00;Napoli;Genoa
1572705244-39165;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Genoa-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/genoa-as-roma/rccqnawd/;null;null;3.60;3.40;2.05;Genoa;AS Roma
1572705115-38257;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Palermo-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/palermo-udinese/YRDBBL5E/;null;null;2.00;3.20;3.90;Palermo;Udinese
1572705266-39309;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sassuolo-Cesena;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sassuolo-cesena/b72M3nQQ/;null;null;1.46;4.49;8.81;Sassuolo;Cesena
1572704885-36719;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Chievo-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/chievo-parma/CpmC2B4g/;null;null;2.80;3.00;2.70;Chievo;Parma
1572705292-39459;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Lazio-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/lazio-sampdoria/0zPiJRPD/;null;null;1.71;3.55;5.25;Lazio;Sampdoria
1572705188-38766;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Cagliari-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/cagliari-fiorentina/QoUQGGsf/;null;null;3.26;3.38;2.22;Cagliari;Fiorentina
1572705748-42386;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sampdoria-Cesena;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sampdoria-cesena/M3z8yw0H/;;;1.52;3.90;7.40;Sampdoria;Cesena
1572705016-37584;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Genoa-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/genoa-empoli/8nFYWDF1/;null;null;2.10;3.20;3.50;Genoa;Empoli
1572705115-38264;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Palermo-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/palermo-udinese/YRDBBL5E/;null;null;2.20;3.20;3.20;Palermo;Udinese
1572705061-37882;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Genoa-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/genoa-juventus/QqHStA0N/;null;null;9.50;4.30;1.48;Genoa;Juventus
1572705948-43665;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Genoa-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/genoa-inter/ClktGpjU/;;;3.21;3.51;2.36;Genoa;Inter
1572705155-38535;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Parma-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/parma-empoli/SAljNI4Q/;null;null;2.20;3.10;3.40;Parma;Empoli
1572704917-36939;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Fiorentina-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/fiorentina-sassuolo/Uca7a0fT/;null;null;1.44;4.33;6.00;Fiorentina;Sassuolo
1572705420-40328;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Udinese-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/udinese-juventus/Wx2jiCyc/;null;null;8.55;4.25;1.45;Udinese;Juventus
1572705679-41964;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Palermo-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/palermo-ac-milan/WY3fM6fD/;;;2.50;3.20;2.75;Palermo;AC Milan
1572705405-40224;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Fiorentina-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/fiorentina-as-roma/b9FKwg7c/;;;2.50;3.20;2.95;Fiorentina;AS Roma
1572704989-37396;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sassuolo-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sassuolo-juventus/8pOdyT6m/;null;null;9.25;4.70;1.36;Sassuolo;Juventus
1572705521-40979;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Fiorentina-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/fiorentina-torino/E1ZY9Hmg/;;;2.02;3.36;4.35;Fiorentina;Torino
1572705423-40359;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Torino-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/torino-sampdoria/Y3NWWsjr/;null;null;2.08;3.10;3.70;Torino;Sampdoria
1572705037-37717;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Juventus-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/juventus-palermo/xpvepOkI/;null;null;1.20;5.75;17.00;Juventus;Palermo
1572705567-41276;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;AS Roma-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/as-roma-juventus/A3cn5g2O/;;;2.88;3.20;2.50;AS Roma;Juventus
1572705405-40229;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Fiorentina-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/fiorentina-as-roma/b9FKwg7c/;;;2.34;3.22;3.18;Fiorentina;AS Roma
1572705962-43740;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Empoli-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/empoli-sampdoria/OSEfZ7jh/;;;2.15;3.30;3.30;Empoli;Sampdoria
1572705176-38689;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Palermo-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/palermo-parma/6FSSzxZP/;null;null;1.91;3.60;3.80;Palermo;Parma
1572704989-37404;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Sassuolo-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/sassuolo-juventus/8pOdyT6m/;null;null;9.20;4.65;1.37;Sassuolo;Juventus
1572704852-36479;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Inter-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/inter-sassuolo/vH0tkhzf/;null;null;1.49;4.20;6.90;Inter;Sassuolo
1572705244-39155;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Genoa-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/genoa-as-roma/rccqnawd/;null;null;3.65;3.35;2.07;Genoa;AS Roma
1572705720-42219;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Udinese-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/udinese-palermo/b1qmt1on/;;;2.35;3.15;3.25;Udinese;Palermo
1572705781-42588;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Udinese-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/udinese-ac-milan/6mp16cai/;;;3.10;3.25;2.40;Udinese;AC Milan
1572705810-42783;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Atalanta-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/atalanta-empoli/ju2Erf7p/;;;2.40;3.00;3.20;Atalanta;Empoli
1572705275-39360;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Torino-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/torino-genoa/4luka6Ys/;null;null;1.93;3.31;4.01;Torino;Genoa
1572705052-37824;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Torino-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/torino-parma/WMwfcVp4/;null;null;1.78;3.50;4.80;Torino;Parma
1572705447-40521;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Juventus-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/juventus-ac-milan/QHSjSJ4D/;;;1.35;4.61;8.64;Juventus;AC Milan
1572704870-36611;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Udinese-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/udinese-napoli/hh4r54Qi/;null;null;3.30;3.25;2.20;Udinese;Napoli
1572705461-40590;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Fiorentina-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/fiorentina-atalanta/CfMzW15l/;;;1.48;4.07;6.74;Fiorentina;Atalanta
1572705893-43293;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Palermo-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/palermo-atalanta/YuiAA3df/;;;2.05;3.25;3.65;Palermo;Atalanta
1572705704-42099;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;AS Roma-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/as-roma-napoli/pxhxojXD/;;;2.30;3.40;3.55;AS Roma;Napoli
1572705840-42961;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;AC Milan-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/ac-milan-genoa/nLzdeXjj/;;;2.00;3.50;3.80;AC Milan;Genoa
1572705594-41437;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Cesena-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/cesena-palermo/jLDs8GZ2/;;;2.95;3.20;2.40;Cesena;Palermo
1572704864-36565;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Cesena-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/cesena-empoli/INm83ikm/;null;null;2.90;3.15;2.63;Cesena;Empoli
1572705399-40188;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Juventus-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/juventus-chievo/lbn2LBiT/;null;null;1.13;7.81;23.24;Juventus;Chievo
1572705140-38418;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Lazio-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/lazio-juventus/f5p70ecD/;null;null;4.05;3.35;1.95;Lazio;Juventus
1572705597-41461;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Lazio-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/lazio-fiorentina/0Wpk2Qop/;;;2.10;3.40;3.50;Lazio;Fiorentina
1572705242-39141;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Juventus-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/juventus-sampdoria/MmdmoJh2/;null;null;1.30;5.56;13.88;Juventus;Sampdoria
1572704941-37088;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/results/;Genoa-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2014-2015/genoa-sampdoria/2FeH7cnj/;;;2.85;3.05;2.55;Genoa;Sampdoria
