web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;date;Home_team;Away_team
1572688913-2035;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sassuolo-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a/sassuolo-fiorentina/OdK9cJXQ/;;;3.00;3.20;2.38;null;Sassuolo;Fiorentina
1572688907-1992;https://www.betexplorer.com/soccer/italy/serie-a/results/;Brescia-Inter;https://www.betexplorer.com/soccer/italy/serie-a/brescia-inter/YBsbuKBr/;;;8.55;4.95;1.38;null;Brescia;Inter
1572688648-411;https://www.betexplorer.com/soccer/italy/serie-a/results/;Genoa-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a/genoa-fiorentina/vghYuNRC/;;;2.75;3.40;2.55;null;Genoa;Fiorentina
1572688812-1392;https://www.betexplorer.com/soccer/italy/serie-a/results/;Torino-Napoli;https://www.betexplorer.com/soccer/italy/serie-a/torino-napoli/W2u8mNn5/;;;3.86;3.86;1.94;null;Torino;Napoli
1572688671-566;https://www.betexplorer.com/soccer/italy/serie-a/results/;Spal-Lazio;https://www.betexplorer.com/soccer/italy/serie-a/spal-lazio/jilxA1tg/;;;5.85;4.10;1.57;null;Spal;Lazio
1572688860-1683;https://www.betexplorer.com/soccer/italy/serie-a/results/;Cagliari-Spal;https://www.betexplorer.com/soccer/italy/serie-a/cagliari-spal/SUYGo1HH/;;;2.05;3.20;3.75;null;Cagliari;Spal
1572688671-563;https://www.betexplorer.com/soccer/italy/serie-a/results/;Spal-Lazio;https://www.betexplorer.com/soccer/italy/serie-a/spal-lazio/jilxA1tg/;;;6.50;4.20;1.55;null;Spal;Lazio
1572688655-456;https://www.betexplorer.com/soccer/italy/serie-a/results/;Atalanta-Torino;https://www.betexplorer.com/soccer/italy/serie-a/atalanta-torino/QTxTrPsf/;;;1.59;4.10;5.65;null;Atalanta;Torino
1572688910-2007;https://www.betexplorer.com/soccer/italy/serie-a/results/;Udinese-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a/udinese-as-roma/Uwcxgwtr/;;;3.80;3.35;2.09;null;Udinese;AS Roma
1572688900-1956;https://www.betexplorer.com/soccer/italy/serie-a/results/;AS Roma-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a/as-roma-ac-milan/OxhOoMYE/;;;2.12;3.35;3.70;null;AS Roma;AC Milan
1572688932-2166;https://www.betexplorer.com/soccer/italy/serie-a/results/;AC Milan-Spal;https://www.betexplorer.com/soccer/italy/serie-a/ac-milan-spal/zyvFyxB7/;;;1.62;3.92;5.65;null;AC Milan;Spal
1572688812-1394;https://www.betexplorer.com/soccer/italy/serie-a/results/;Torino-Napoli;https://www.betexplorer.com/soccer/italy/serie-a/torino-napoli/W2u8mNn5/;;;3.66;3.68;1.91;null;Torino;Napoli
1572688715-843;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lazio-Parma;https://www.betexplorer.com/soccer/italy/serie-a/lazio-parma/OvFDWzBK/;;;1.27;5.88;8.98;null;Lazio;Parma
1572688926-2130;https://www.betexplorer.com/soccer/italy/serie-a/results/;Juventus-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/juventus-genoa/Uwy7wbte/;;;1.22;6.20;13.50;null;Juventus;Genoa
1572688652-435;https://www.betexplorer.com/soccer/italy/serie-a/results/;Cagliari-Inter;https://www.betexplorer.com/soccer/italy/serie-a/cagliari-inter/bsyys3C6/;;;5.40;4.05;1.60;null;Cagliari;Inter
1572688645-396;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lazio-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a/lazio-as-roma/WnuK3QJJ/;;;2.00;3.30;3.20;null;Lazio;AS Roma
1572688729-912;https://www.betexplorer.com/soccer/italy/serie-a/results/;Verona-Udinese;https://www.betexplorer.com/soccer/italy/serie-a/verona-udinese/GYwipfuK/;;;2.45;3.00;3.10;null;Verona;Udinese
1572688622-235;https://www.betexplorer.com/soccer/italy/serie-a/results/;Inter-Lecce;https://www.betexplorer.com/soccer/italy/serie-a/inter-lecce/Um4oWobl/;;;1.25;6.00;12.00;null;Inter;Lecce
1572688709-795;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sampdoria-Torino;https://www.betexplorer.com/soccer/italy/serie-a/sampdoria-torino/MFflQYml/;;;2.95;3.30;2.51;null;Sampdoria;Torino
1572688774-1170;https://www.betexplorer.com/soccer/italy/serie-a/results/;Udinese-Bologna;https://www.betexplorer.com/soccer/italy/serie-a/udinese-bologna/KrfYzp3a/;;;3.10;3.20;2.47;null;Udinese;Bologna
1572688926-2119;https://www.betexplorer.com/soccer/italy/serie-a/results/;Juventus-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/juventus-genoa/Uwy7wbte/;;;1.23;6.00;11.50;null;Juventus;Genoa
1572688702-756;https://www.betexplorer.com/soccer/italy/serie-a/results/;AC Milan-Inter;https://www.betexplorer.com/soccer/italy/serie-a/ac-milan-inter/8CjpREYs/;;;3.75;3.25;2.10;null;AC Milan;Inter
1572688750-1038;https://www.betexplorer.com/soccer/italy/serie-a/results/;Genoa-Bologna;https://www.betexplorer.com/soccer/italy/serie-a/genoa-bologna/4bzmozQD/;;;2.42;3.50;2.90;null;Genoa;Bologna
1572688690-685;https://www.betexplorer.com/soccer/italy/serie-a/results/;Cagliari-Genoa;https://www.betexplorer.com/soccer/italy/serie-a/cagliari-genoa/xOG5Ydt8/;;;3.00;3.30;2.47;null;Cagliari;Genoa
1572688635-331;https://www.betexplorer.com/soccer/italy/serie-a/results/;Udinese-Parma;https://www.betexplorer.com/soccer/italy/serie-a/udinese-parma/bcPbdrCg/;;;1.94;3.47;4.23;null;Udinese;Parma
1572688614-187;https://www.betexplorer.com/soccer/italy/serie-a/results/;Cagliari-Brescia;https://www.betexplorer.com/soccer/italy/serie-a/cagliari-brescia/pbwAkza9/;;;1.83;3.60;4.55;null;Cagliari;Brescia
1572688600-96;https://www.betexplorer.com/soccer/italy/serie-a/results/;Udinese-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a/udinese-ac-milan/bJhlj7kK/;;;4.00;3.40;1.95;null;Udinese;AC Milan
1572688794-1281;https://www.betexplorer.com/soccer/italy/serie-a/results/;AC Milan-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a/ac-milan-fiorentina/hdWAJrYO/;;;2.44;3.15;3.15;null;AC Milan;Fiorentina
1572688729-913;https://www.betexplorer.com/soccer/italy/serie-a/results/;Verona-Udinese;https://www.betexplorer.com/soccer/italy/serie-a/verona-udinese/GYwipfuK/;;;2.55;3.00;3.05;null;Verona;Udinese
1572688809-1382;https://www.betexplorer.com/soccer/italy/serie-a/results/;Genoa-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a/genoa-ac-milan/2RkgWLHU/;;;2.90;3.20;2.50;null;Genoa;AC Milan
1572688754-1076;https://www.betexplorer.com/soccer/italy/serie-a/results/;Fiorentina-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a/fiorentina-sampdoria/jen5MjmD/;;;1.63;4.10;5.20;null;Fiorentina;Sampdoria
1572688712-821;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lecce-Napoli;https://www.betexplorer.com/soccer/italy/serie-a/lecce-napoli/2VDHVfQQ/;;;6.05;4.79;1.44;null;Lecce;Napoli
1572688929-2151;https://www.betexplorer.com/soccer/italy/serie-a/results/;Cagliari-Bologna;https://www.betexplorer.com/soccer/italy/serie-a/cagliari-bologna/jmx3vvRl/;;;2.60;3.25;2.75;null;Cagliari;Bologna
1572688870-1753;https://www.betexplorer.com/soccer/italy/serie-a/results/;Verona-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a/verona-sassuolo/zHFXObR1/;;;2.40;3.20;3.10;null;Verona;Sassuolo
1572688886-1863;https://www.betexplorer.com/soccer/italy/serie-a/results/;Spal-Napoli;https://www.betexplorer.com/soccer/italy/serie-a/spal-napoli/xtdSptlL/;;;6.50;4.33;1.48;null;Spal;Napoli
1572688648-418;https://www.betexplorer.com/soccer/italy/serie-a/results/;Genoa-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a/genoa-fiorentina/vghYuNRC/;;;2.60;3.20;2.40;null;Genoa;Fiorentina
1572688840-1578;https://www.betexplorer.com/soccer/italy/serie-a/results/;Juventus-Bologna;https://www.betexplorer.com/soccer/italy/serie-a/juventus-bologna/6LXKpLWN/;;;1.34;5.50;8.25;null;Juventus;Bologna
1572688661-497;https://www.betexplorer.com/soccer/italy/serie-a/results/;Inter-Udinese;https://www.betexplorer.com/soccer/italy/serie-a/inter-udinese/40FJiKQO/;;;1.33;5.40;8.50;null;Inter;Udinese
1572688863-1711;https://www.betexplorer.com/soccer/italy/serie-a/results/;AC Milan-Lecce;https://www.betexplorer.com/soccer/italy/serie-a/ac-milan-lecce/x4Ojuafo/;;;1.40;4.80;7.50;null;AC Milan;Lecce
1572688852-1641;https://www.betexplorer.com/soccer/italy/serie-a/results/;Sampdoria-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a/sampdoria-as-roma/Yq7vnVSc/;;;3.45;3.40;2.13;null;Sampdoria;AS Roma
1572688635-320;https://www.betexplorer.com/soccer/italy/serie-a/results/;Udinese-Parma;https://www.betexplorer.com/soccer/italy/serie-a/udinese-parma/bcPbdrCg/;;;1.91;3.55;4.00;null;Udinese;Parma
1572688641-363;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lecce-Verona;https://www.betexplorer.com/soccer/italy/serie-a/lecce-verona/pjqO2pZP/;;;2.04;3.50;3.75;null;Lecce;Verona
1572688645-390;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lazio-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a/lazio-as-roma/WnuK3QJJ/;;;2.00;3.65;3.55;null;Lazio;AS Roma
1572688809-1383;https://www.betexplorer.com/soccer/italy/serie-a/results/;Genoa-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a/genoa-ac-milan/2RkgWLHU/;;;2.98;3.22;2.61;null;Genoa;AC Milan
1572688743-992;https://www.betexplorer.com/soccer/italy/serie-a/results/;Napoli-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a/napoli-cagliari/06FNvY2s/;;;1.15;7.25;13.75;null;Napoli;Cagliari
1572688836-1553;https://www.betexplorer.com/soccer/italy/serie-a/results/;Lazio-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a/lazio-atalanta/zexPqunU/;;;2.18;3.60;3.15;null;Lazio;Atalanta
