web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;Home_team;Away_team
1572692567-17700;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Spal-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/spal-chievo/WYo7s7TH/;;;2.15;3.00;3.85;Spal;Chievo
1572691514-10939;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Udinese-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/udinese-genoa/dIpeWH9d/;;;2.39;3.13;3.01;Udinese;Genoa
1572692161-15173;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-juventus/IiR5JQMh/;;;12.10;4.92;1.35;Chievo;Juventus
1572692111-14843;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AC Milan-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/ac-milan-crotone/6ilpmsPa/;;;1.27;6.15;10.50;AC Milan;Crotone
1572691975-13934;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Genoa-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/genoa-atalanta/vTYKfSR1/;;;3.10;3.25;2.30;Genoa;Atalanta
1572691567-11289;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-atalanta/YZTwe1nc/;;;2.85;3.25;2.50;Chievo;Atalanta
1572691833-13074;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Atalanta-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/atalanta-spal/pWtWa5jF/;null;null;1.31;5.10;9.14;Atalanta;Spal
1572692340-16215;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Spal-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/spal-bologna/8xC7UpWn/;;;2.49;3.15;3.05;Spal;Bologna
1572691908-13500;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Napoli-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/napoli-juventus/AkMNIvEi/;null;null;2.15;3.20;3.70;Napoli;Juventus
1572692091-14709;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Spal-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/spal-lazio/UipPmEFA/;;;5.75;4.00;1.60;Spal;Lazio
1572692043-14393;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AC Milan-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/ac-milan-atalanta/fsUWMpBf/;;;2.45;3.35;2.90;AC Milan;Atalanta
1572692394-16576;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Spal-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/spal-juventus/pGpaQgyT/;;;12.25;5.00;1.34;Spal;Juventus
1572691863-13274;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Benevento-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/benevento-sassuolo/EPcsgfZa/;null;null;3.15;3.15;2.20;Benevento;Sassuolo
1572692414-16711;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Crotone-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/crotone-as-roma/8AkzWc7i/;;;5.90;3.95;1.59;Crotone;AS Roma
1572691893-13440;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Juventus-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/juventus-crotone/80bkMh3n/;null;null;1.11;8.50;26.00;Juventus;Crotone
1572691482-10742;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Torino-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/torino-sassuolo/zs9uxmtI/;;;1.70;3.60;4.70;Torino;Sassuolo
