web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;Home_team;Away_team
1572690371-6489;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Fiorentina-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/fiorentina-sampdoria/GdfimYws/;;;1.82;3.57;4.90;Fiorentina;Sampdoria
1572690901-9806;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Cagliari-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/cagliari-lazio/bD1zUJd2/;;;4.42;3.92;1.83;Cagliari;Lazio
1572689762-2683;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sampdoria-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sampdoria-napoli/Gh4YTRXK/;;;6.50;4.10;1.52;Sampdoria;Napoli
1572690536-7470;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Torino-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/torino-atalanta/phI9IGZr/;null;null;2.90;3.25;2.50;Torino;Atalanta
1572690962-10201;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Lazio-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/lazio-bologna/QqXeT7Nl/;;;2.40;2.80;3.55;Lazio;Bologna
1572689968-4001;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Parma-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/parma-lazio/r7fZou5s/;;;5.75;4.20;1.57;Parma;Lazio
1572690268-5825;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Juventus-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/juventus-as-roma/8Krreb0o/;;;1.37;4.90;8.75;Juventus;AS Roma
1572690957-10181;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;AC Milan-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/ac-milan-frosinone/02P8Q577/;;;1.18;7.20;14.50;AC Milan;Frosinone
1572689837-3133;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Torino-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/torino-napoli/UcZVYDFH/;;;4.35;3.45;1.90;Torino;Napoli
1572690337-6245;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Juventus-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/juventus-sampdoria/OGKBJYr3/;;;1.18;7.00;17.00;Juventus;Sampdoria
1572690104-4731;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Chievo-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/chievo-bologna/bittMCnB/;;;3.00;3.20;2.45;Chievo;Bologna
1572690630-8081;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Cagliari-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/cagliari-fiorentina/jBCGPA4N/;;;3.13;3.32;2.33;Cagliari;Fiorentina
1572690124-4865;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Inter-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/inter-frosinone/zyG4ELp2/;;;1.25;6.00;13.00;Inter;Frosinone
1572690121-4846;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Juventus-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/juventus-spal/lv4nw5N2/;;;1.17;7.50;16.00;Juventus;Spal
1572690368-6454;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Frosinone-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/frosinone-atalanta/0QXLXhvf/;;;8.00;4.75;1.40;Frosinone;Atalanta
1572689737-2516;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Cagliari-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/cagliari-sassuolo/bFC55ik3/;;;2.40;3.20;3.10;Cagliari;Sassuolo
1572689759-2647;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sassuolo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sassuolo-genoa/fq3xTomR/;;;2.25;3.20;3.40;Sassuolo;Genoa
1572690029-4282;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Cagliari-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/cagliari-chievo/hdfbtyZI/;;;1.61;3.82;6.85;Cagliari;Chievo
1572690969-10212;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Frosinone-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/frosinone-chievo/4lBYtRil/;;;2.06;3.55;3.35;Frosinone;Chievo
1572690682-8433;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Frosinone-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/frosinone-spal/fJZGh9Y9/;;;3.03;3.18;2.67;Frosinone;Spal
1572690292-5975;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sampdoria-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sampdoria-chievo/nVgs4gqG/;;;1.62;3.75;6.00;Sampdoria;Chievo
1572690383-6573;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sassuolo-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sassuolo-cagliari/jFn4pWNa/;;;2.07;3.30;3.80;Sassuolo;Cagliari
1572690542-7519;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sassuolo-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sassuolo-spal/zweLzGeR/;;;2.07;3.20;3.95;Sassuolo;Spal
1572689807-2926;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Empoli-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/empoli-lazio/WQ55MqQf/;;;4.90;4.05;1.69;Empoli;Lazio
1572690847-9432;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Spal-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/spal-genoa/4AnvNBqI/;null;null;3.13;2.96;2.73;Spal;Genoa
1572689975-4052;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Frosinone-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/frosinone-empoli/bHTc5T52/;;;3.22;3.38;2.39;Frosinone;Empoli
1572690856-9501;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Chievo-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/chievo-parma/ABF0vDEh/;null;null;2.90;3.20;2.55;Chievo;Parma
1572690613-7981;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Inter-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/inter-spal/UyMeUYkh/;;;1.41;4.30;9.50;Inter;Spal
1572690405-6712;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Bologna-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/bologna-frosinone/OSpCrAhC/;;;1.65;3.75;5.90;Bologna;Frosinone
1572689987-4119;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Bologna-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/bologna-torino/Aei7r6bk/;;;3.20;3.10;2.40;Bologna;Torino
1572690091-4647;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Spal-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/spal-cagliari/0K2Byhnb/;;;2.55;3.05;2.95;Spal;Cagliari
1572690281-5904;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;AC Milan-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/ac-milan-fiorentina/4nxigxVc/;;;2.20;3.20;3.60;AC Milan;Fiorentina
1572690879-9643;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Parma-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/parma-sampdoria/nBqrijbb/;;;3.10;3.30;2.48;Parma;Sampdoria
1572690703-8570;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Torino-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/torino-sampdoria/tzbb5nIF/;;;2.15;3.25;3.60;Torino;Sampdoria
1572690249-5695;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Bologna-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/bologna-ac-milan/d8kaierD/;;;4.40;3.30;1.91;Bologna;AC Milan
1572690929-9984;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Bologna-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/bologna-parma/ABVOzjVE/;;;1.68;3.40;6.10;Bologna;Parma
1572689975-4044;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Frosinone-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/frosinone-empoli/bHTc5T52/;;;3.05;3.30;2.39;Frosinone;Empoli
1572690935-10023;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sassuolo-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sassuolo-as-roma/S8Hfl9aE/;null;null;5.25;4.25;1.60;Sassuolo;AS Roma
1572690180-5242;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Atalanta-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/atalanta-napoli/IF9NUtVr/;;;3.40;3.40;2.14;Atalanta;Napoli
1572689786-2843;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Frosinone-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/frosinone-sampdoria/pU99L3u1/;;;3.10;3.05;2.50;Frosinone;Sampdoria
1572690670-8356;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sampdoria-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sampdoria-ac-milan/AF5CeBli/;;;3.10;3.10;2.45;Sampdoria;AC Milan
1572690723-8700;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sassuolo-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sassuolo-chievo/p8STk7IS/;;;1.69;3.70;5.20;Sassuolo;Chievo
1572689674-2243;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Torino-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/torino-as-roma/KOD16XZd/;;;3.50;3.40;2.00;Torino;AS Roma
1572690653-8233;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Empoli-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/empoli-frosinone/pYBKOUJT/;;;1.75;3.56;4.58;Empoli;Frosinone
1572690850-9451;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sampdoria-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sampdoria-lazio/xOpnLkEU/;;;3.10;3.50;2.25;Sampdoria;Lazio
1572689965-3985;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;AS Roma-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/as-roma-spal/0rkvoaKm/;;;1.27;5.80;10.50;AS Roma;Spal
1572689909-3620;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Frosinone-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/frosinone-genoa/dOeYuDxi/;null;null;3.55;3.30;2.14;Frosinone;Genoa
1572689756-2637;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Torino-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/torino-spal/bD7cO5er/;;;1.64;3.65;6.00;Torino;Spal
1572690340-6267;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Genoa-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/genoa-fiorentina/pQL7KETd/;;;2.60;3.10;2.90;Genoa;Fiorentina
1572690112-4792;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;AS Roma-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/as-roma-sampdoria/S643wEHo/;;;1.40;4.50;6.75;AS Roma;Sampdoria
1572690071-4524;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Lazio-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/lazio-spal/YV3eAFma/;;;1.36;5.00;8.50;Lazio;Spal
1572690368-6465;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Frosinone-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/frosinone-atalanta/0QXLXhvf/;;;7.50;4.60;1.44;Frosinone;Atalanta
1572690374-6506;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Cagliari-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/cagliari-empoli/jFQYUjOC/;;;2.01;3.56;4.05;Cagliari;Empoli
1572690600-7882;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Parma-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/parma-genoa/rsHyPwEC/;null;null;2.90;3.00;2.62;Parma;Genoa
1572690174-5195;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;AS Roma-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/as-roma-inter/l0uNkr78/;;;2.64;3.52;2.64;AS Roma;Inter
1572689778-2780;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Napoli-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/napoli-fiorentina/Ykj4so2K/;;;1.45;4.55;7.10;Napoli;Fiorentina
1572690349-6314;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;AC Milan-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/ac-milan-spal/KrEKHCDF/;;;1.44;4.10;8.25;AC Milan;Spal
1572690418-6783;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Napoli-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/napoli-sampdoria/lp98Cl7h/;;;1.33;5.20;9.40;Napoli;Sampdoria
1572689958-3927;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Udinese-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/udinese-napoli/Yemnqwk0/;;;7.00;3.82;1.55;Udinese;Napoli
1572689868-3347;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Juventus-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/juventus-bologna/zydckZab/;;;1.12;8.50;19.00;Juventus;Bologna
1572690529-7424;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;AS Roma-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/as-roma-bologna/Kn649wcS/;;;1.40;4.80;7.50;AS Roma;Bologna
1572690343-6283;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Empoli-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/empoli-inter/WMXPeVjd/;;;7.00;4.75;1.44;Empoli;Inter
1572690225-5526;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Spal-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/spal-chievo/IH2Sjq9a/;;;2.08;3.15;3.75;Spal;Chievo
1572690546-7541;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sampdoria-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sampdoria-cagliari/vFHDHzkk/;;;1.75;3.40;5.40;Sampdoria;Cagliari
1572690549-7548;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Parma-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/parma-napoli/vB1CxxRE/;;;9.50;5.10;1.35;Parma;Napoli
1572690262-5769;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Napoli-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/napoli-spal/rwyehdp4/;;;1.18;6.53;13.95;Napoli;Spal
1572690696-8521;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Cagliari-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/cagliari-juventus/fsI3q5ed/;;;6.20;3.38;1.77;Cagliari;Juventus
1572690487-7144;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sampdoria-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sampdoria-frosinone/U1Thivyp/;;;1.55;4.07;7.11;Sampdoria;Frosinone
1572690010-4212;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Spal-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/spal-frosinone/hCrMeGY5/;;;1.80;3.40;4.50;Spal;Frosinone
1572690578-7742;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Udinese-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/udinese-bologna/W8tiVgJl/;;;2.70;2.75;2.65;Udinese;Bologna
1572689804-2914;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Genoa-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/genoa-bologna/ShaEKNf7/;;;2.00;3.20;3.90;Genoa;Bologna
1572690630-8088;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Cagliari-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/cagliari-fiorentina/jBCGPA4N/;;;3.10;3.30;2.35;Cagliari;Fiorentina
1572690456-6995;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Cagliari-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/cagliari-atalanta/OtQpc975/;;;5.75;4.33;1.59;Cagliari;Atalanta
1572690554-7576;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Fiorentina-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/fiorentina-inter/C49QEYY7/;;;3.00;3.30;2.45;Fiorentina;Inter
1572690296-5987;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Inter-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/inter-napoli/j30Y5FE3/;;;2.80;3.50;2.50;Inter;Napoli
1572690259-5759;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Parma-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/parma-bologna/CCuaiGaA/;;;2.57;3.00;3.05;Parma;Bologna
1572690346-6308;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Chievo-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/chievo-frosinone/IJTLdByj/;;;1.97;3.24;4.72;Chievo;Frosinone
1572690988-10307;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sampdoria-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sampdoria-juventus/fw4ovPy7/;;;3.00;3.60;2.40;Sampdoria;Juventus
1572689942-3808;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Napoli-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/napoli-sassuolo/IcCSkl6F/;;;1.43;4.68;8.10;Napoli;Sassuolo
1572690941-10057;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Parma-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/parma-fiorentina/MBQ4Roh1/;;;3.84;3.07;2.25;Parma;Fiorentina
1572690398-6672;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Lazio-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/lazio-juventus/YcS25XaP/;;;4.00;3.30;2.00;Lazio;Juventus
1572689883-3438;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;AS Roma-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/as-roma-frosinone/r1a5mDUA/;;;1.22;6.50;13.00;AS Roma;Frosinone
1572690581-7750;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Torino-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/torino-chievo/CKclUDYf/;null;null;1.53;3.80;7.00;Torino;Chievo
1572690998-10376;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Cagliari-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/cagliari-udinese/tzMCfpMm/;;;1.83;3.75;4.10;Cagliari;Udinese
1572690374-6505;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Cagliari-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/cagliari-empoli/jFQYUjOC/;;;1.97;3.55;3.75;Cagliari;Empoli
1572690245-5662;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Atalanta-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/atalanta-lazio/2ojehyT6/;;;2.05;3.50;3.75;Atalanta;Lazio
1572690337-6237;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Juventus-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/juventus-sampdoria/OGKBJYr3/;;;1.20;7.00;18.00;Juventus;Sampdoria
1572689683-2295;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Parma-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/parma-udinese/AgWAqASq/;;;2.77;3.14;2.75;Parma;Udinese
1572689759-2646;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sassuolo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sassuolo-genoa/fq3xTomR/;;;2.24;3.14;3.27;Sassuolo;Genoa
1572690643-8167;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Napoli-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/napoli-udinese/jBYouj4A/;;;1.21;6.13;12.90;Napoli;Udinese
1572690229-5557;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sampdoria-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sampdoria-parma/4EbOiPgg/;;;1.90;3.40;4.40;Sampdoria;Parma
1572690720-8676;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;AS Roma-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/as-roma-fiorentina/nHEeoRQq/;;;2.10;3.50;3.50;AS Roma;Fiorentina
1572690333-6217;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Lazio-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/lazio-torino/thFGIhb9/;;;1.57;4.00;6.00;Lazio;Torino
1572690340-6258;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Genoa-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/genoa-fiorentina/pQL7KETd/;;;2.60;3.10;2.80;Genoa;Fiorentina
1572689921-3706;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Sampdoria-Spal;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/sampdoria-spal/4fngykiM/;;;1.67;3.50;5.00;Sampdoria;Spal
1572690007-4174;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Atalanta-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/atalanta-parma/E5efsHJC/;;;1.32;5.50;9.30;Atalanta;Parma
1572689942-3825;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Napoli-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/napoli-sassuolo/IcCSkl6F/;;;1.44;4.75;7.00;Napoli;Sassuolo
1572690091-4637;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Spal-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/spal-cagliari/0K2Byhnb/;;;2.55;3.05;2.95;Spal;Cagliari
1572689865-3322;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Napoli-Parma;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/napoli-parma/ERf1lgF4/;;;1.17;6.80;17.00;Napoli;Parma
1572690059-4467;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/results/;Udinese-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2018-2019/udinese-ac-milan/ze0C6XnO/;;;4.20;3.30;1.97;Udinese;AC Milan
