start;url;match;href;Bookmakers: 21;Bookie;Home;Draw;Away;Home_team;Away_team
1572703956-32153;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sassuolo-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sassuolo-bologna/xQkCi3pj/;;;2.15;3.25;3.75;Sassuolo;Bologna
1572703365-28217;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sassuolo-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sassuolo-atalanta/EyEBgeuc/;null;null;2.20;3.30;3.40;Sassuolo;Atalanta
1572703289-27742;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sassuolo-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sassuolo-napoli/6DqEzsZH/;;;4.67;3.55;1.80;Sassuolo;Napoli
1572704211-33851;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Atalanta-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/atalanta-juventus/xnoKZqse/;null;null;8.50;4.20;1.44;Atalanta;Juventus
1572704171-33578;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Carpi-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/carpi-atalanta/Us3CwgrT/;;;2.67;3.10;3.00;Carpi;Atalanta
1572704161-33492;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Palermo-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/palermo-bologna/dU44uFDG/;;;2.90;3.35;2.47;Palermo;Bologna
1572704366-35005;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Napoli-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/napoli-bologna/tzbYg8T2/;null;null;1.28;6.00;11.00;Napoli;Bologna
1572703738-30704;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;AS Roma-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/as-roma-atalanta/Qk6fY5Qo/;;;1.48;4.00;7.00;AS Roma;Atalanta
1572703521-29256;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;AS Roma-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/as-roma-empoli/WIebM5Wc/;null;null;1.44;4.50;9.00;AS Roma;Empoli
1572704452-35591;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Juventus-Carpi;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/juventus-carpi/QaRGo5ht/;null;null;1.30;5.50;10.00;Juventus;Carpi
1572704351-34890;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sampdoria-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sampdoria-ac-milan/xre8Io7d/;null;null;3.35;3.40;2.23;Sampdoria;AC Milan
1572703972-32267;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Inter-Carpi;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/inter-carpi/UJxbF6xc/;;;1.44;4.20;7.50;Inter;Carpi
1572703972-32260;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Inter-Carpi;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/inter-carpi/UJxbF6xc/;;;1.48;4.20;7.30;Inter;Carpi
1572704056-32818;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Torino-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/torino-chievo/0QXeMEks/;;;1.60;3.60;5.75;Torino;Chievo
1572704300-34509;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Atalanta-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/atalanta-ac-milan/bJKECJv6/;null;null;3.30;3.20;2.30;Atalanta;AC Milan
1572704050-32780;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Bologna-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/bologna-fiorentina/YwW3KhKg/;null;null;3.60;3.30;2.00;Bologna;Fiorentina
1572703474-28947;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Bologna-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/bologna-udinese/tAWlO6pl/;;;2.95;2.95;2.55;Bologna;Udinese
1572703445-28746;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Carpi-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/carpi-napoli/0jBF97Vf/;null;null;6.75;3.90;1.50;Carpi;Napoli
1572703551-29449;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Palermo-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/palermo-inter/lxDNQKNq/;;;3.50;3.20;2.20;Palermo;Inter
1572704043-32736;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Empoli-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/empoli-udinese/AwzPJLTr/;;;2.00;3.30;3.60;Empoli;Udinese
1572704354-34916;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Lazio-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/lazio-empoli/joqjsVqc/;null;null;1.47;4.34;6.20;Lazio;Empoli
1572703682-30334;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Juventus-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/juventus-ac-milan/fes23oRB/;;;1.53;3.90;7.50;Juventus;AC Milan
1572703344-28089;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Atalanta-Frosinone;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/atalanta-frosinone/rafhl03H/;;;1.64;3.86;5.30;Atalanta;Frosinone
1572704218-33893;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Inter-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/inter-bologna/UFv2p1eD/;null;null;1.62;3.97;6.62;Inter;Bologna
1572704500-35923;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sassuolo-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sassuolo-inter/zDg6dM6b/;;;1.67;4.10;4.90;Sassuolo;Inter
1572704257-34186;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sassuolo-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sassuolo-udinese/zH7O12Qm/;null;null;2.00;3.25;4.33;Sassuolo;Udinese
1572704168-33536;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Chievo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/chievo-genoa/2VXQdGri/;;;2.97;3.05;2.60;Chievo;Genoa
1572704175-33585;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Lazio-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/lazio-sassuolo/rR00tebA/;;;1.70;3.60;5.00;Lazio;Sassuolo
1572703653-30132;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;AC Milan-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/ac-milan-atalanta/SKNKj8s6/;;;1.68;3.60;5.10;AC Milan;Atalanta
1572703574-29598;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Fiorentina-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/fiorentina-as-roma/v3NmXMpG/;null;null;2.49;3.35;2.85;Fiorentina;AS Roma
1572704363-34987;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Atalanta-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/atalanta-as-roma/v7FXOmUS/;null;null;4.60;3.40;1.72;Atalanta;AS Roma
1572703292-27771;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sampdoria-Carpi;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sampdoria-carpi/U7lkto5t/;;;2.00;3.30;4.00;Sampdoria;Carpi
1572704012-32531;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sassuolo-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sassuolo-as-roma/dfYWHabe/;;;3.00;3.20;2.60;Sassuolo;AS Roma
1572703574-29605;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Fiorentina-AS Roma;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/fiorentina-as-roma/v3NmXMpG/;null;null;2.50;3.40;2.90;Fiorentina;AS Roma
1572703705-30489;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Fiorentina-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/fiorentina-empoli/EelE0qBU/;null;null;1.55;4.00;6.00;Fiorentina;Empoli
1572703524-29270;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Verona-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/verona-udinese/U3E1LPo4/;;;2.42;3.35;3.35;Verona;Udinese
1572704056-32828;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Torino-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/torino-chievo/0QXeMEks/;;;1.63;3.70;6.00;Torino;Chievo
1572703802-31148;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;AC Milan-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/ac-milan-verona/rkanWz1F/;;;1.40;4.60;9.00;AC Milan;Verona
1572703742-30738;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sassuolo-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sassuolo-fiorentina/OpSB9Mmo/;null;null;3.75;3.35;2.08;Sassuolo;Fiorentina
1572704093-33057;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Chievo-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/chievo-sassuolo/YiBxZiZn/;;;3.40;3.00;2.38;Chievo;Sassuolo
1572704168-33537;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Chievo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/chievo-genoa/2VXQdGri/;;;2.95;3.00;2.69;Chievo;Genoa
1572703303-27819;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Inter-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/inter-atalanta/fFcNpRdP/;;;1.60;4.20;6.70;Inter;Atalanta
1572703896-31751;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/results/;Sampdoria-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2015-2016/sampdoria-juventus/AyNQqFnC/;;;6.00;4.00;1.55;Sampdoria;Juventus
