match;date;result;Home_team;Away_team
Empoli-Genoa;08/03/2015;01-gen;Empoli;Genoa
Verona-Sampdoria;08/12/2014;01-mar;Verona;Sampdoria
Sassuolo-Juventus;18/10/2014;01-gen;Sassuolo;Juventus
Sampdoria-Empoli;11/01/2015;1-0;Sampdoria;Empoli
Cesena-Chievo;12/04/2015;0-1;Cesena;Chievo
Palermo-Genoa;19/04/2015;02-gen;Palermo;Genoa
Genoa-AC Milan;07/12/2014;1-0;Genoa;AC Milan
Palermo-Napoli;14/02/2015;03-gen;Palermo;Napoli
Cagliari-Lazio;04/04/2015;01-mar;Cagliari;Lazio
Cagliari-Inter;23/02/2015;01-feb;Cagliari;Inter
Atalanta-Parma;19/10/2014;1-0;Atalanta;Parma
Genoa-Napoli;31/08/2014;01-feb;Genoa;Napoli
Cagliari-Torino;24/09/2014;01-feb;Cagliari;Torino
Palermo-Verona;01/02/2015;02-gen;Palermo;Verona
Napoli-Sassuolo;23/02/2015;2-0;Napoli;Sassuolo
Torino-Inter;31/08/2014;0-0;Torino;Inter
AS Roma-Juventus;02/03/2015;01-gen;AS Roma;Juventus
AS Roma-Genoa;03/05/2015;2-0;AS Roma;Genoa
Sassuolo-Chievo;04/04/2015;1-0;Sassuolo;Chievo
Atalanta-Sassuolo;12/04/2015;02-gen;Atalanta;Sassuolo
Genoa-Atalanta;06/01/2015;02-feb;Genoa;Atalanta
Chievo-Napoli;01/02/2015;01-feb;Chievo;Napoli
AS Roma-Fiorentina;30/08/2014;2-0;AS Roma;Fiorentina
Palermo-Parma;30/11/2014;02-gen;Palermo;Parma
Verona-Udinese;03/05/2015;0-1;Verona;Udinese
Juventus-Palermo;26/10/2014;2-0;Juventus;Palermo
Napoli-Fiorentina;12/04/2015;3-0;Napoli;Fiorentina
Genoa-Udinese;04/04/2015;01-gen;Genoa;Udinese
Verona-Cesena;04/04/2015;03-mar;Verona;Cesena
Empoli-Sassuolo;22/03/2015;03-gen;Empoli;Sassuolo
Verona-Parma;11/01/2015;03-gen;Verona;Parma
Sassuolo-Torino;19/04/2015;01-gen;Sassuolo;Torino
Torino-Verona;21/09/2014;0-1;Torino;Verona
AC Milan-Sampdoria;12/04/2015;01-gen;AC Milan;Sampdoria
Cagliari-Verona;01/03/2015;01-feb;Cagliari;Verona
Inter-Juventus;16/05/2015;01-feb;Inter;Juventus
Chievo-AC Milan;28/02/2015;0-0;Chievo;AC Milan
Fiorentina-Parma;18/05/2015;3-0;Fiorentina;Parma
Lazio-Juventus;22/11/2014;0-3;Lazio;Juventus
Udinese-Juventus;01/02/2015;0-0;Udinese;Juventus
Cagliari-Napoli;19/04/2015;0-3;Cagliari;Napoli
Empoli-Napoli;30/04/2015;04-feb;Empoli;Napoli
Torino-Genoa;21/12/2014;02-gen;Torino;Genoa
Fiorentina-Lazio;19/10/2014;0-2;Fiorentina;Lazio
Atalanta-Palermo;21/12/2014;03-mar;Atalanta;Palermo
Genoa-Empoli;20/10/2014;01-gen;Genoa;Empoli
Fiorentina-Palermo;11/01/2015;04-mar;Fiorentina;Palermo
Juventus-Chievo;25/01/2015;2-0;Juventus;Chievo
Cesena-Cagliari;24/05/2015;0-1;Cesena;Cagliari
Cesena-Sampdoria;23/11/2014;01-gen;Cesena;Sampdoria
Verona-Chievo;21/12/2014;0-1;Verona;Chievo
Genoa-Inter;23/05/2015;03-feb;Genoa;Inter
Sassuolo-Cesena;20/12/2014;01-gen;Sassuolo;Cesena
Lazio-Sampdoria;05/01/2015;3-0;Lazio;Sampdoria
Parma-Sassuolo;25/10/2014;01-mar;Parma;Sassuolo
Parma-Genoa;05/10/2014;01-feb;Parma;Genoa
Lazio-Atalanta;13/12/2014;3-0;Lazio;Atalanta
Palermo-Inter;21/09/2014;01-gen;Palermo;Inter
Udinese-Parma;29/09/2014;04-feb;Udinese;Parma
Cagliari-Genoa;09/11/2014;01-gen;Cagliari;Genoa
Sassuolo-Cagliari;31/08/2014;01-gen;Sassuolo;Cagliari
Genoa-AS Roma;14/12/2014;0-1;Genoa;AS Roma
Cagliari-Sassuolo;24/01/2015;02-gen;Cagliari;Sassuolo
Cesena-Verona;03/11/2014;01-gen;Cesena;Verona
Sampdoria-Napoli;01/12/2014;01-gen;Sampdoria;Napoli
Udinese-Sampdoria;10/05/2015;01-apr;Udinese;Sampdoria
Juventus-Inter;06/01/2015;01-gen;Juventus;Inter
Sassuolo-Genoa;31/05/2015;03-gen;Sassuolo;Genoa
AS Roma-Parma;15/02/2015;0-0;AS Roma;Parma
Inter-Torino;25/01/2015;0-1;Inter;Torino
Parma-Juventus;11/04/2015;1-0;Parma;Juventus
Empoli-Sampdoria;24/05/2015;01-gen;Empoli;Sampdoria
