"","match","mean_home_odd","mean_draw_odd","mean_away_odd","max_home_odd","max_draw_odd","max_away_odd","result","date","p1mean","p2mean","pxmean","p1max","p2max","pxmax","esito"
"526","Napoli-Benevento",1.08913043478261,10.725652173913,25.3647826086957,1.12,12.5,34,"6-0","17/09/2017",0.918163672654689,0.0394247415965306,0.0932344237707248,0.892857142857143,0.0294117647058824,0.08,"1"
"527","Torino-Crotone",1.56478260869565,3.94,6.1704347826087,1.65,4.05,7,"4-1","04/04/2018",0.639066407335372,0.16206313416009,0.253807106598985,0.606060606060606,0.142857142857143,0.246913580246914,"1"
"528","Torino-Bologna",1.99130434782609,3.42,3.89217391304348,2.06,3.56,4.1,"3-0","06/01/2018",0.502183406113536,0.25692582663092,0.292397660818713,0.485436893203884,0.24390243902439,0.280898876404494,"1"
"529","Cagliari-AS Roma",6.38521739130435,4.34086956521739,1.50652173913043,8.14,5.09,1.63,"0-1","06/05/2018",0.156611739071224,0.663780663780666,0.23036858974359,0.122850122850123,0.613496932515337,0.196463654223969,"2"
"530","Torino-Inter",4.09826086956522,3.56521739130435,1.90782608695652,4.5,3.75,2.1,"1-0","08/04/2018",0.244005941014216,0.524156791248861,0.280487804878049,0.222222222222222,0.476190476190476,0.266666666666667,"1"
"531","Sassuolo-Genoa",1.89782608695652,3.5404347826087,4.14913043478261,2,3.75,4.53,"0-0","20/08/2017",0.526918671248569,0.241014356072514,0.282451185066928,0.5,0.22075055187638,0.266666666666667,"X"
"532","AS Roma-Genoa",1.31739130434783,5.13173913043478,10.1065217391304,1.38,5.54,13,"2-1","18/04/2018",0.759075907590757,0.0989460098946013,0.194865712107092,0.72463768115942,0.0769230769230769,0.180505415162455,"1"
"533","AS Roma-Napoli",3.16,3.58,2.20217391304348,3.4,3.75,2.5,"0-1","14/10/2017",0.316455696202532,0.454096742349457,0.279329608938547,0.294117647058824,0.4,0.266666666666667,"2"
"534","Sampdoria-Juventus",6.06863636363636,4.02090909090909,1.56818181818182,6.84,4.33,1.61,"3-2","19/11/2017",0.164781664294809,0.637681159420289,0.248699977390911,0.146198830409357,0.62111801242236,0.23094688221709,"1"
"535","Genoa-AS Roma",4.96181818181818,3.79181818181818,1.70181818181818,5.26,4,1.78,"1-1","26/11/2017",0.201539025283987,0.587606837606838,0.263725725245745,0.190114068441065,0.561797752808989,0.25,"X"
"536","Torino-Lazio",4.9695652173913,3.97695652173913,1.66869565217391,5.31,4.2,1.73,"0-1","29/04/2018",0.201224846894138,0.599270453361127,0.251448562370176,0.188323917137476,0.578034682080925,0.238095238095238,"2"
"537","Bologna-AS Roma",6.09739130434783,4.3,1.52739130434783,7,4.66,1.65,"1-1","31/03/2018",0.164004563605248,0.654711073156844,0.232558139534884,0.142857142857143,0.606060606060606,0.214592274678112,"X"
"538","Spal-Atalanta",4.68521739130435,3.55347826086957,1.8004347826087,5.2,3.75,1.9,"1-1","07/04/2018",0.213437268002969,0.555421395798115,0.281414413312125,0.192307692307692,0.526315789473684,0.266666666666667,"X"
"539","Sassuolo-Fiorentina",2.96217391304348,3.17913043478261,2.49869565217391,3.2,3.3,2.65,"1-0","21/04/2018",0.337589901658594,0.400208804593702,0.314551422319475,0.3125,0.377358490566038,0.303030303030303,"1"
"540","Genoa-Torino",2.22478260869565,3.59782608695652,3.07260869565217,2.32,3.75,3.25,"1-2","20/05/2018",0.449482118428767,0.325456346398755,0.277945619335348,0.431034482758621,0.307692307692308,0.266666666666667,"2"
"541","Benevento-Lazio",10.0147619047619,5.68666666666667,1.28809523809524,12,7,1.33,"1-5","29/10/2017",0.099852598545005,0.776340110905729,0.175849941383353,0.0833333333333333,0.75187969924812,0.142857142857143,"2"
"542","Torino-Atalanta",2.61636363636364,3.36272727272727,2.68954545454545,2.75,3.52,2.9,"1-1","02/12/2017",0.382209867963863,0.37181003887105,0.297377669640444,0.363636363636364,0.344827586206897,0.284090909090909,"X"
"543","Sampdoria-Bologna",1.68869565217391,3.78565217391304,5.11869565217391,1.75,3.95,5.55,"1-0","18/04/2018",0.592173017507725,0.195362269599932,0.264155277363041,0.571428571428571,0.18018018018018,0.253164556962025,"1"
"544","Crotone-Torino",3.40782608695652,3.30695652173913,2.18782608695652,3.95,3.5,2.3,"2-2","15/10/2017",0.293442204644042,0.457074721780604,0.302392847751775,0.253164556962025,0.434782608695652,0.285714285714286,"X"
"545","Verona-Atalanta",8.93173913043478,4.81826086956522,1.36913043478261,10.5,5.2,1.6,"0-5","18/03/2018",0.111960278440345,0.730390600190536,0.207543764663418,0.0952380952380952,0.625,0.192307692307692,"2"
"546","Spal-Bologna",2.44304347826087,3.10260869565217,3.13695652173913,2.62,3.25,3.3,"1-0","03/03/2018",0.409325502758498,0.318780318780319,0.322309417040359,0.381679389312977,0.303030303030303,0.307692307692308,"1"
"547","Lazio-Spal",1.26782608695652,5.79478260869565,11.0647826086957,1.3,6.4,13,"0-0","20/08/2017",0.788751714677642,0.0903768320955633,0.172569027611044,0.769230769230769,0.0769230769230769,0.15625,"X"
