start;url;match;href;Bookmakers: 22;Bookmakers: 22;Home;Draw;Away;Home_team;Away_team
1572701174-22523;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Inter-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/inter-genoa/KhoTAPg5/;;;1.62;4.00;6.00;Inter;Genoa
1572700982-21257;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-udinese/hlMdVM08/;;;2.70;3.25;2.63;Palermo;Udinese
1572701583-25140;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Fiorentina;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-fiorentina/vJawr0pE/;;;2.06;3.40;3.50;Atalanta;Fiorentina
1572700703-19406;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-chievo/z3MvwmAo/;;;1.68;3.55;5.80;Fiorentina;Chievo
1572701029-21570;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-atalanta/WC4UFdJB/;null;null;2.70;3.20;2.85;Sassuolo;Atalanta
1572701489-24531;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-crotone/W8EIbbqD/;null;null;1.25;6.41;15.63;Atalanta;Crotone
1572700641-19027;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-udinese/ddDs98e5/;;;1.38;4.25;7.75;AS Roma;Udinese
1572701128-22232;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Juventus-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/juventus-atalanta/trOsaSfg/;;;1.45;4.25;8.75;Juventus;Atalanta
1572700958-21109;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Pescara-Atalanta;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/pescara-atalanta/rJv68age/;;;2.75;3.25;2.65;Pescara;Atalanta
1572700641-19031;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-udinese/ddDs98e5/;;;1.45;4.60;7.50;AS Roma;Udinese
1572701658-25617;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Lazio;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-lazio/67WSl8cb/;;;4.70;4.24;1.77;Sassuolo;Lazio
1572701683-25782;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-bologna/zmOqoQdN/;;;1.48;4.00;6.25;Fiorentina;Bologna
1572701351-23647;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Empoli-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/empoli-udinese/vJy048Er/;;;2.70;3.00;2.75;Empoli;Udinese
1572701729-26093;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-crotone/nHjWmdmo/;;;1.55;4.30;5.75;Torino;Crotone
1572700889-20661;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-crotone/jNA44gdh/;;;1.55;4.20;7.00;Sassuolo;Crotone
