match;date;result;match;
AS Roma-Chievo;16/09/2018;02-feb;AS Roma;Chievo
Cagliari-AC Milan;16/09/2018;01-gen;Cagliari;AC Milan
Empoli-Lazio;16/09/2018;0-1;Empoli;Lazio
Genoa-Bologna;16/09/2018;1-0;Genoa;Bologna
Juventus-Sassuolo;16/09/2018;02-gen;Juventus;Sassuolo
Udinese-Torino;16/09/2018;01-gen;Udinese;Torino
Frosinone-Sampdoria;15/09/2018;0-5;Frosinone;Sampdoria
Inter-Parma;15/09/2018;0-1;Inter;Parma
Napoli-Fiorentina;15/09/2018;1-0;Napoli;Fiorentina
Atalanta-Cagliari;02/09/2018;0-1;Atalanta;Cagliari
Chievo-Empoli;02/09/2018;0-0;Chievo;Empoli
Fiorentina-Udinese;02/09/2018;1-0;Fiorentina;Udinese
Lazio-Frosinone;02/09/2018;1-0;Lazio;Frosinone
Sampdoria-Napoli;02/09/2018;3-0;Sampdoria;Napoli
Sassuolo-Genoa;02/09/2018;05-mar;Sassuolo;Genoa
Torino-Spal;02/09/2018;1-0;Torino;Spal
Bologna-Inter;01/09/2018;0-3;Bologna;Inter
Parma-Juventus;01/09/2018;01-feb;Parma;Juventus
AC Milan-AS Roma;31/08/2018;02-gen;AC Milan;AS Roma
AS Roma-Atalanta;27/08/2018;03-mar;AS Roma;Atalanta
Cagliari-Sassuolo;26/08/2018;02-feb;Cagliari;Sassuolo
Fiorentina-Chievo;26/08/2018;06-gen;Fiorentina;Chievo
Frosinone-Bologna;26/08/2018;0-0;Frosinone;Bologna
Genoa-Empoli;26/08/2018;02-gen;Genoa;Empoli
Inter-Torino;26/08/2018;02-feb;Inter;Torino
Spal-Parma;26/08/2018;1-0;Spal;Parma
Udinese-Sampdoria;26/08/2018;1-0;Udinese;Sampdoria
Juventus-Lazio;25/08/2018;2-0;Juventus;Lazio
Napoli-AC Milan;25/08/2018;03-feb;Napoli;AC Milan
Atalanta-Frosinone;20/08/2018;4-0;Atalanta;Frosinone
Bologna-Spal;19/08/2018;0-1;Bologna;Spal
Empoli-Cagliari;19/08/2018;2-0;Empoli;Cagliari
Parma-Udinese;19/08/2018;02-feb;Parma;Udinese
Sassuolo-Inter;19/08/2018;1-0;Sassuolo;Inter
Torino-AS Roma;19/08/2018;0-1;Torino;AS Roma
Chievo-Juventus;18/08/2018;02-mar;Chievo;Juventus
Lazio-Napoli;18/08/2018;01-feb;Lazio;Napoli
